Dataset,Raw Rows,Processed Rows,Raw Features,Final Features,Removed/Quarantined Features,Missing-Value Handling,Scaling,Encoding,Sampling Strategy,Split Strategy
AI4I 2020,10000,10000,14,13,"UDI, Product ID, TWF, HDF, PWF, OSF, RNF",Zero missing; validated in raw data,StandardScaler (fitted on train),One-Hot / Target Encoding for type,Natural / ROS train-only benchmark,Stratified 70/15/15
NASA C-MAPSS FD001,20631,20631,26,95,"Constant sensors (s1, s5, s10, s16, s18, s19), op_setting_3",Zero missing,StandardScaler (fitted on train),None (Continuous sensor telemetry),Natural continuous physics degradation,"Engine-Grouped (1-70, 71-85, 86-100)"
UCI SECOM,1567,1567,591,436,"116 zero-variance/constant features, 39 collinear sensors",Median Imputer (fitted on train),StandardScaler (fitted on train),None,Natural / Class-Weighted / ROS (train-only),Stratified 70/15/15
UCI Electricity Load,26113,26113,8,19,Lead time leaks; future demand indices,Linear interpolation on 15-min cadence,StandardScaler (fitted on train),Cyclical sin/cos hour and day encoding,Sequential chronological (50% tuning window),Chronological 70/15/15
Industrial IoT Failure,500000,500000,28,26,"Machine_ID (dropped), Remaining_Useful_Life_days (quarantined)",Zero missing in simulator,StandardScaler (fitted on train),Target/Frequency encoding of Machine_Type,Natural / ROS / 30% Tuning Subsample,Machine-Disjoint 70/15/15
Industrial IoT RUL,500000,500000,28,26,"Machine_ID (dropped), Failure_Within_7_Days (quarantined)",Zero missing in simulator,StandardScaler (fitted on train),Frequency encoding of Machine_Type,Natural / 30% Decile-Binned Tuning Subsample,Machine-Disjoint 70/15/15
Manufacturing Production,1000,1000,18,12,"actual_completion, actual_delay, downtime, post_maintenance",Median imputation,RobustScaler (fitted on train),Categorical one-hot encoding,Natural / Class-Weighted,Stratified 70/15/15
Manufacturing Defects,3240,3240,24,23,Batch identifier metadata,Zero missing,StandardScaler (fitted on train),Station ID encoding,Natural distribution,Stratified 70/15/15
Textile Loom Telemetry,43200,43200,20,16,"reading_id, machine_id metadata",Forward-fill telemetry interpolation,StandardScaler (fitted on train),None (Unsupervised),Nominal sequence (50% Stride Tuning Subsample),Chronological 70/15/15
Synthetic Factory Telemetry,43200,43200,25,20,"MAINT_0003 retrospective logs, reading_id",Forward-fill sensor alignment,StandardScaler (fitted on nominal train),None (Unsupervised),Nominal cadence (50% Stride Tuning Subsample),Chronological Pre-Cutoff
