feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
unit_number,unit_number,IDENTIFIER_GROUP,int64,Engine ID,Identity,Unique turbofan engine trajectory group identifier,NASA_CMAPSS_FD001,RUL_Regression,GROUP,Full trajectory,YES,SAFE_FOR_GROUPING,0.0,854.2545254515245,100,KEEP,Required for GroupKFold validation splitting
time_cycles,time_cycles,TEMPORAL_INDEX,int64,Operating Cycles,Integer count,Sequential operating cycle count from start of engine life,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Monotonic,YES,SAFE,0.0,4744.590807794031,362,KEEP,Valid causal feature indicating operating history
rul_raw,time_cycles,TARGET,int64,Cycles,max_cycles - time_cycles,Unclipped true remaining operating cycles until failure,NASA_CMAPSS_FD001,RUL_Regression,FUTURE_TARGET,None,NO,TARGET,0.0,4744.59080779403,362,TARGET,Supervised learning ground truth label
rul_clipped,time_cycles,TARGET,int64,Cycles,"min(rul_raw, 125)",Piecewise linear RUL target capped at 125 cycles,NASA_CMAPSS_FD001,RUL_Regression,FUTURE_TARGET,None,NO,TARGET,0.0,1736.697176218282,126,TARGET,Supervised learning ground truth label
s1,s1,SENSOR_CONSTANT,float64,Engineering Units,Raw sensor reading,Turbofan sensor channel s1 exhibiting invariant reading across sea-level flight envelope,NASA_CMAPSS_FD001,RUL_Regression,STATIC,None,YES,SAFE,0.0,0.0,1,REMOVE,Near-zero variance (< 1e-6); contains no degradation signal in FD001
s5,s5,SENSOR_CONSTANT,float64,Engineering Units,Raw sensor reading,Turbofan sensor channel s5 exhibiting invariant reading across sea-level flight envelope,NASA_CMAPSS_FD001,RUL_Regression,STATIC,None,YES,SAFE,0.0,2.840036917509108e-29,1,REMOVE,Near-zero variance (< 1e-6); contains no degradation signal in FD001
s10,s10,SENSOR_CONSTANT,float64,Engineering Units,Raw sensor reading,Turbofan sensor channel s10 exhibiting invariant reading across sea-level flight envelope,NASA_CMAPSS_FD001,RUL_Regression,STATIC,None,YES,SAFE,0.0,0.0,1,REMOVE,Near-zero variance (< 1e-6); contains no degradation signal in FD001
s16,s16,SENSOR_CONSTANT,float64,Engineering Units,Raw sensor reading,Turbofan sensor channel s16 exhibiting invariant reading across sea-level flight envelope,NASA_CMAPSS_FD001,RUL_Regression,STATIC,None,YES,SAFE,0.0,1.203764562610672e-35,1,REMOVE,Near-zero variance (< 1e-6); contains no degradation signal in FD001
s18,s18,SENSOR_CONSTANT,int64,Engineering Units,Raw sensor reading,Turbofan sensor channel s18 exhibiting invariant reading across sea-level flight envelope,NASA_CMAPSS_FD001,RUL_Regression,STATIC,None,YES,SAFE,0.0,0.0,1,REMOVE,Near-zero variance (< 1e-6); contains no degradation signal in FD001
s19,s19,SENSOR_CONSTANT,float64,Engineering Units,Raw sensor reading,Turbofan sensor channel s19 exhibiting invariant reading across sea-level flight envelope,NASA_CMAPSS_FD001,RUL_Regression,STATIC,None,YES,SAFE,0.0,0.0,1,REMOVE,Near-zero variance (< 1e-6); contains no degradation signal in FD001
s2,s2,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s2 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.2500532728983226,310,KEEP,None (informative diagnostic sensor)
s3,s3,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s3 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,37.59099443280496,3012,KEEP,None (informative diagnostic sensor)
s4,s4,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s4 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,81.01088641554637,4051,KEEP,None (informative diagnostic sensor)
s7,s7,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s7 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.7833883045757074,513,KEEP,None (informative diagnostic sensor)
s8,s8,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s8 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.005038938213373842,53,KEEP,None (informative diagnostic sensor)
s9,s9,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s9 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,487.65356811858936,6403,KEEP,None (informative diagnostic sensor)
s11,s11,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s11 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.0713356785121139,159,KEEP,None (informative diagnostic sensor)
s12,s12,SENSOR_RAW,float64,Engineering Units,Raw telemetry,Raw turbofan channel s12 measurement at cycle t,NASA_CMAPSS_FD001,RUL_Regression,TIME_SERIES,Cycle t,YES,SAFE,0.0,0.5439850063600523,427,KEEP,None (informative diagnostic sensor)
