feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
UDI,UDI,IDENTIFIER,int64,None,Identity,Unique record or product serial identifier,AI4I_2020,Predictive_Maintenance_Classification,STATIC,None,YES,LEAKAGE,0.0,0.0,10000,REMOVE,High-cardinality arbitrary identifier causing spurious correlation
Product ID,Product ID,IDENTIFIER,str,None,Identity,Unique record or product serial identifier,AI4I_2020,Predictive_Maintenance_Classification,STATIC,None,YES,LEAKAGE,0.0,0.0,10000,REMOVE,High-cardinality arbitrary identifier causing spurious correlation
machine_failure,Machine failure,TARGET,int64,Binary (0/1),Ground truth label,Binary machine component breakdown indicator,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,None,NO,TARGET,0.0,0.03275406540654065,2,TARGET,Target variable (supervised learning label)
TWF,TWF,POST_EVENT_DIAGNOSTIC,int64,Binary (0/1),Sub-failure mode diagnostic label,Specific component failure mode (TWF) determined post-breakdown,AI4I_2020,Predictive_Maintenance_Classification,POST_EVENT,None,NO,LEAKAGE,0.0,0.004579297929792978,2,REMOVE,Direct post-event target leakage (deterministic sub-failure breakdown flags)
HDF,HDF,POST_EVENT_DIAGNOSTIC,int64,Binary (0/1),Sub-failure mode diagnostic label,Specific component failure mode (HDF) determined post-breakdown,AI4I_2020,Predictive_Maintenance_Classification,POST_EVENT,None,NO,LEAKAGE,0.0,0.011368886888688869,2,REMOVE,Direct post-event target leakage (deterministic sub-failure breakdown flags)
PWF,PWF,POST_EVENT_DIAGNOSTIC,int64,Binary (0/1),Sub-failure mode diagnostic label,Specific component failure mode (PWF) determined post-breakdown,AI4I_2020,Predictive_Maintenance_Classification,POST_EVENT,None,NO,LEAKAGE,0.0,0.009410691069106908,2,REMOVE,Direct post-event target leakage (deterministic sub-failure breakdown flags)
OSF,OSF,POST_EVENT_DIAGNOSTIC,int64,Binary (0/1),Sub-failure mode diagnostic label,Specific component failure mode (OSF) determined post-breakdown,AI4I_2020,Predictive_Maintenance_Classification,POST_EVENT,None,NO,LEAKAGE,0.0,0.009704930493049303,2,REMOVE,Direct post-event target leakage (deterministic sub-failure breakdown flags)
RNF,RNF,POST_EVENT_DIAGNOSTIC,int64,Binary (0/1),Sub-failure mode diagnostic label,Specific component failure mode (RNF) determined post-breakdown,AI4I_2020,Predictive_Maintenance_Classification,POST_EVENT,None,NO,LEAKAGE,0.0,0.001896579657965797,2,REMOVE,Direct post-event target leakage (deterministic sub-failure breakdown flags)
air_temperature_k,Air temperature [K],SENSOR,float64,Kelvin (K),Raw sensor reading,Ambient factory atmospheric temperature,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,4.001034798579858,93,KEEP,None (valid prospective operational input)
process_temperature_k,Process temperature [K],SENSOR,float64,Kelvin (K),Raw sensor reading,Machine tool process operating temperature,AI4I_2020,Predictive_Maintenance_Classification,INSTANTANEOUS,Current tick,YES,SAFE,0.0,2.2014672331233114,82,KEEP,None (valid prospective operational input)
