feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
Machine_ID,Machine_ID,IDENTIFIER,str,ID String,Identity,Unique factory machine entity identifier,Industrial_IoT_2040,Failure_and_RUL_Prediction,STATIC,None,YES,SAFE_FOR_GROUPING,0.0,0.0,500000,KEEP_METADATA,Required for entity-level cross-validation
Failure_Within_7_Days,Failure_Within_7_Days,TARGET,bool,Binary (0/1),Binary label,Machine breakdown occurring within 7 days,Industrial_IoT_2040,Failure_Classification,FUTURE_WINDOW,Next 7 days,NO,TARGET,0.0,0.056456428816857626,2,TARGET,Supervised binary classification target
Remaining_Useful_Life_days,Remaining_Useful_Life_days,TARGET_OR_LEAKAGE,float64,Days,Remaining life in days,Remaining useful operating life in days until failure,Industrial_IoT_2040,RUL_Regression,FUTURE_TARGET,Future,NO,LEAKAGE_IF_CLASSIFYING_FAILURE,0.0,83504.39431340239,1106,CONDITIONAL,Target for RUL regression; strict leakage if evaluating binary failure
Machine_Type,Machine_Type,CATEGORICAL,str,Category,Raw feature,"Machine physical classification (CNC, Robot, etc.)",Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,0.0,33,KEEP,None (informative diagnostic telemetry)
Installation_Year,Installation_Year,TEMPORAL,int64,Year,Raw feature,Machine equipment commissioning year,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,139.94445111930222,41,KEEP,None (informative diagnostic telemetry)
Operational_Hours,Operational_Hours,OPERATIONAL,int64,Hours,Raw feature,Total cumulative active runtime hours,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,833006332.21066,99328,KEEP,None (informative diagnostic telemetry)
Temperature_C,Temperature_C,SENSOR,float64,Degrees Celsius,Raw feature,Spindle/core internal operating temperature,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,224.60935295549447,9878,KEEP,None (informative diagnostic telemetry)
Vibration_mms,Vibration_mms,SENSOR,float64,mm/s,Raw feature,RMS vibration velocity,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,24.995296192753905,3604,KEEP,None (informative diagnostic telemetry)
Sound_dB,Sound_dB,SENSOR,float64,dB,Raw feature,Acoustic operational noise emission,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,99.81590192994376,6806,KEEP,None (informative diagnostic telemetry)
Oil_Level_pct,Oil_Level_pct,SENSOR,float64,Percentage (0-100),Raw feature,Lubrication fluid reservoir level,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,355.2261479504565,9275,KEEP,None (informative diagnostic telemetry)
Coolant_Level_pct,Coolant_Level_pct,SENSOR,float64,Percentage (0-100),Raw feature,Coolant fluid reservoir level,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,536.0612984941421,9984,KEEP,None (informative diagnostic telemetry)
Power_Consumption_kW,Power_Consumption_kW,SENSOR,float64,kW,Raw feature,Active power drawn by the equipment,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,6392.9519018100655,43440,KEEP,None (informative diagnostic telemetry)
Last_Maintenance_Days_Ago,Last_Maintenance_Days_Ago,MAINTENANCE,int64,Days,Raw feature,Days elapsed since previous maintenance intervention,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,11141.338097802241,366,KEEP,None (informative diagnostic telemetry)
Maintenance_History_Count,Maintenance_History_Count,MAINTENANCE,int64,Count,Raw feature,Total historical scheduled maintenance count,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,5.008836233288466,19,KEEP,None (informative diagnostic telemetry)
Failure_History_Count,Failure_History_Count,MAINTENANCE,int64,Count,Raw feature,Total historical breakdown events recorded,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,1.9968156478872956,13,KEEP,None (informative diagnostic telemetry)
AI_Supervision,AI_Supervision,CATEGORICAL,bool,Category,Raw feature,Supervisory AI monitoring tier,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,0.2103317317634635,2,KEEP,None (informative diagnostic telemetry)
Error_Codes_Last_30_Days,Error_Codes_Last_30_Days,OPERATIONAL,int64,Count,Raw feature,Diagnostic error codes logged in preceding 30 days,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,2.994773283946569,14,KEEP,None (informative diagnostic telemetry)
Laser_Intensity,Laser_Intensity,SENSOR,float64,Index,Raw feature,Laser tooling power / sensor intensity,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.969688,100.7038930192219,4247,KEEP,None (informative diagnostic telemetry)
Hydraulic_Pressure_bar,Hydraulic_Pressure_bar,SENSOR,float64,bar,Raw feature,Active hydraulic manifold pressure,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.93932,225.5117338481644,6766,KEEP,None (informative diagnostic telemetry)
Coolant_Flow_L_min,Coolant_Flow_L_min,SENSOR,float64,L/min,Raw feature,Coolant circulation volumetric flow rate,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.908752,99.79316313419838,5172,KEEP,None (informative diagnostic telemetry)
Heat_Index,Heat_Index,SENSOR,float64,Index,Raw feature,Composite thermal index,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.909572,2501.2058639126494,17980,KEEP,None (informative diagnostic telemetry)
AI_Override_Events,AI_Override_Events,OPERATIONAL,int64,Count,Raw feature,Number of safety override interventions,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,1.4487668959297917,12,KEEP,None (informative diagnostic telemetry)
thermal_deviation_c,Temperature_C,DERIVED_THERMAL,float64,Delta Celsius,Temperature_C - 55.0,Temperature deviation from nominal operating midpoint (~55 C),Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,224.60935295549447,9878,KEEP,None (domain physics derived feature)
vibration_severity_ratio,Vibration_mms,DERIVED_MECHANICAL,float64,Ratio,Vibration_mms / 2.80,Vibration severity relative to ISO 10816 2.8 mm/s alert boundary,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,3.18817553479004,3604,KEEP,None (domain physics derived feature)
fluid_depletion_index,"Oil_Level_pct, Coolant_Level_pct",DERIVED_MAINTENANCE,float64,Index (0-200),(100 - Oil) + (100 - Coolant),Total fluid deficiency score,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,890.234852101466,32506,KEEP,None (domain physics derived feature)
thermo_vibration_stress,"Temperature_C, Vibration_mms",DERIVED_STRESS,float64,C * mm/s,Temperature_C * Vibration_mms,Composite thermal-mechanical stress product,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,117942.89130617683,465043,KEEP,None (domain physics derived feature)
hydraulic_pressure_deviation,Hydraulic_Pressure_bar,DERIVED_MECHANICAL,float64,bar,abs(Hydraulic_Pressure_bar - 120.0),Absolute deviation from nominal 120 bar pressure,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.93932,82.00460586613588,4860,KEEP,None (domain physics derived feature)
error_rate_per_1k_hours,"Error_Codes, Operational_Hours",DERIVED_RELIABILITY,float64,Errors/k-hr,Error_Codes / (Hours / 1000),Error frequency normalized by machine age,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.0,2.133331989110732,250349,KEEP,None (domain physics derived feature)
coolant_thermal_efficiency,"Coolant_Flow, Temperature_C",DERIVED_THERMAL,float64,L/min/C,Coolant_Flow / Temperature_C,Cooling flow capacity per degree temperature,Industrial_IoT_2040,Failure_and_RUL_Prediction,INSTANTANEOUS,Current snapshot,YES,SAFE,0.908752,0.39324128615417475,45492,KEEP,None (domain physics derived feature)
