Entity / Task / Artifact,Epistemic Status,Authoritative Provenance,Historical Divergence Analysis,Epistemic Classification Level,Permitted Paper Claims
AI4I 2020 Predictive Maintenance,REAL_PHYSICAL_SIMULATOR,UCI Machine Learning Repository / Matanovic et al. (2020). Formulated using thermodynamic and kinematic physical models of milling tools. Models/benchmarks and models/tuned JSON metadata authoritatively store REAL_PHYSICAL_SIMULATOR.,A single summary table in Post-Phase-25 tuning report informally referred to it as CONTROLLED_SYNTHETIC due to its synthetic generation origin. Authoritative repository metadata confirmed as REAL_PHYSICAL_SIMULATOR.,REAL_PHYSICAL_SIMULATOR,Valid for kinematic and thermal failure prediction research; not claimed as dirty shop-floor telemetry.
NASA C-MAPSS FD001 Turbofan RUL,HIGH_FIDELITY_PHYSICS_SIMULATION,"Saxena et al. (2008), NASA Ames Prognostics Data Repository. High-fidelity thermodynamic turbofan degradation model.",Consistent across all benchmark and tuning metadata. Zero divergence.,HIGH_FIDELITY_PHYSICS_SIMULATION,High-fidelity simulation benchmarks for turbofan RUL; single operational condition (sea level).
UCI SECOM Semiconductor Wafer,REAL_MANUFACTURING_METRICS,"McCann & Johnston (2008), UCI Repository. Real production inline semiconductor sensor readings.",Consistently documented as empirical semiconductor metrology across all phases.,OBSERVED,Genuine physical semiconductor sensor noise and defect sparsity; low PR-AUC reflects extreme class imbalance (6.6%).
UCI Electricity Load Demand,REAL_INDUSTRIAL_TELEMETRY,UCI Smart Grid / Steel Industry Telemetry. Real-world 15-minute active power demand intervals.,Consistent across all benchmarks and tuning documentation.,OBSERVED,Real electrical power grid telemetry; causal lag forecasting demonstrates 6.27% out-of-sample WAPE.
Industrial IoT 2040 (Failure & RUL),CONTROLLED_INDUSTRIAL_SIMULATOR,"Industrial IoT Factory Simulator 2040 (500,000 machines).",Consistently documented as simulator. RUL '0.50-day threshold' audited: Introduced as a computational tuning acceptance heuristic in research directive; not an external clinical pre-registration.,CONTROLLED_SYNTHETIC,"Cross-sectional fleet snapshot of 500,000 distinct machines. No longitudinal temporal wear claims permitted."
Manufacturing Production Dispatch,REAL_WORLD_OBSERVATIONAL,Empirical discrete-event manufacturing dispatch execution log.,Consistent across benchmark and tuning phases. Post-event fields strictly quarantined.,OBSERVED,Prospective dispatch bottleneck prediction bounded at ~0.31 PR-AUC without inline real-time telemetry.
Manufacturing Defects Quality,REAL_MANUFACTURING_METRICS,"Quality control inspection station sensor recordings (3,240 parts).",Consistently documented as real manufacturing metrics across all phases.,OBSERVED,Inline quality control classification; leaf regularization yields 0.8935 test ROC-AUC with 99.75% defect recall.
Textile Weaving Loom Telemetry,CONTROLLED_SYNTHETIC,Continuous industrial loom telemetry stream with controlled late-stage degradation.,ADCR metric was pre-registered prior to model selection; PCA reconstruction dramatically outperforms Isolation Forest.,CONTROLLED_SYNTHETIC,Unsupervised manifold degradation contrast; validated via pre-registered ADCR ratio (2.80 on test).
Auto Components Synthetic Factory,CONTROLLED_SYNTHETIC,Multi-machine synchronized factory simulator (M1-M5) with configured M2 spindle degradation.,Pre-cutoff training strictly separated from prospective decision cutoff (Jan 21 12:00) and MAINT_0003 (Jan 22 16:30).,CONTROLLED_SYNTHETIC,Controlled evidence-aligned synthetic case study. Does NOT constitute proven real-world industrial validation.
Phase 14 Financial Loss (INR),DERIVED / PROJECTED,"Phase 14 Cost Modeling Engine: Plant Loss INR 1,48,500; M2 Exposure INR 97,382; Scenario D Avoided INR 84,200.","Consistent. Realized losses, gross exposure, and projected savings are explicitly separated.",DERIVED / PROJECTED,Derived cost model based on configured scrap and labor cost parameters; not audited plant accounting ledgers.
